forcing,member,scenario,variable,dataset_id,dataset_name,version,size_bytes,file_count,first_year,last_year,rights,public,restricted,resource_doi
mpi-esm1-2-hr,r1i1p1f1,historical,tasmin,4e084712-0a4d-4b95-84eb-f683b3f04865,mpi-esm1-2-hr_r1i1p1f1_w5e5_historical_tasmin_global_daily,20210512,34370683601,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp126,pr,6d0d3dc0-b9cc-4767-8380-1df35ea91791,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_global_daily,20210512,18063495493,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp126,tas,a3989ae4-3968-4e50-9b68-3396751a6c96,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,17690602385,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp126,tasmax,3e2d93dd-7daf-4153-8e92-72293dc74edd,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tasmax_global_daily,20210512,17794140813,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp126,tasmin,762f2d0d-e993-4889-8bac-442291889af1,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tasmin_global_daily,20210512,17878831401,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp370,pr,acb43507-b914-4028-aa15-67a7f51fa14e,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp370_pr_global_daily,20210512,18049589800,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp370,tas,4f168a86-5cc5-4745-ab2a-950454a35fe5,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp370_tas_global_daily,20210512,17681893845,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp370,tasmax,552e578a-90cb-4101-a667-c770e0376807,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp370_tasmax_global_daily,20210512,17784779616,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp370,tasmin,e381730f-b615-472b-94a3-f482ee839cbc,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp370_tasmin_global_daily,20210512,17856369094,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp585,pr,9c04961f-4609-44b2-94bb-a33d20fc2762,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp585_pr_global_daily,20210512,18040077359,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp585,tas,04d01ea2-0201-4b8a-84e1-23f1f08d9d11,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp585_tas_global_daily,20210512,17681590956,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp585,tasmax,63ca86b0-40a1-449d-adc6-15cf15dda9b5,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp585_tasmax_global_daily,20210512,17784586242,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mpi-esm1-2-hr,r1i1p1f1,ssp585,tasmin,ffc071d4-929a-4242-9c64-4c9f6e2c067d,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp585_tasmin_global_daily,20210512,17854462941,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,historical,pr,f69c765f-e8fc-4b5d-a67b-5ec6c3792b65,mri-esm2-0_r1i1p1f1_w5e5_historical_pr_global_daily,20210512,34010369685,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,historical,tas,7f461a74-e969-4baa-8bc9-d4e89b6d996e,mri-esm2-0_r1i1p1f1_w5e5_historical_tas_global_daily,20210512,33869286983,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,historical,tasmax,0148d26a-3677-4061-b15f-978592126f7d,mri-esm2-0_r1i1p1f1_w5e5_historical_tasmax_global_daily,20210512,34093174875,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,historical,tasmin,d936585b-c010-45aa-93d5-59c0e30cb4be,mri-esm2-0_r1i1p1f1_w5e5_historical_tasmin_global_daily,20210512,34211996899,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp126,pr,a3e28029-e111-4577-b636-174a1ffc8aab,mri-esm2-0_r1i1p1f1_w5e5_ssp126_pr_global_daily,20210512,17881532343,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp126,tas,afb7d844-1aa4-4d63-b7a7-58d35d008036,mri-esm2-0_r1i1p1f1_w5e5_ssp126_tas_global_daily,20210512,17611068481,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp126,tasmax,4c5644b9-4f14-4c66-bcd0-5b5db4283cf9,mri-esm2-0_r1i1p1f1_w5e5_ssp126_tasmax_global_daily,20210512,17742436554,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp126,tasmin,80a8871e-d51f-4287-83cf-620c874d43ef,mri-esm2-0_r1i1p1f1_w5e5_ssp126_tasmin_global_daily,20210512,17791875986,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp370,pr,ff5d7e36-8ee9-4746-bea7-1c1450f94ee7,mri-esm2-0_r1i1p1f1_w5e5_ssp370_pr_global_daily,20210512,17902376356,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp370,tas,d3c56f0a-0e9d-4838-a646-9e4db398e62f,mri-esm2-0_r1i1p1f1_w5e5_ssp370_tas_global_daily,20210512,17604502190,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp370,tasmax,cdc89d68-bbd5-47e0-ad0c-ed0466e112f3,mri-esm2-0_r1i1p1f1_w5e5_ssp370_tasmax_global_daily,20210512,17735108080,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp370,tasmin,12317619-bb84-425e-8fa6-a5ee5085a881,mri-esm2-0_r1i1p1f1_w5e5_ssp370_tasmin_global_daily,20210512,17775644050,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp585,pr,10f79bb9-54af-4f1e-b88f-f1b2d2bfdeca,mri-esm2-0_r1i1p1f1_w5e5_ssp585_pr_global_daily,20210512,17947806549,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp585,tas,7794344e-e721-4c4c-9c2e-2c429c3c0477,mri-esm2-0_r1i1p1f1_w5e5_ssp585_tas_global_daily,20210512,17603522629,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp585,tasmax,5906dd17-aac1-44ac-b8b6-41985926ef3d,mri-esm2-0_r1i1p1f1_w5e5_ssp585_tasmax_global_daily,20210512,17734649513,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
mri-esm2-0,r1i1p1f1,ssp585,tasmin,aa3d89fd-c220-4be2-a325-0b64e101f9b1,mri-esm2-0_r1i1p1f1_w5e5_ssp585_tasmin_global_daily,20210512,17771549679,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,historical,pr,70f34be5-c381-41ae-92eb-e783663fc1cc,ukesm1-0-ll_r1i1p1f2_w5e5_historical_pr_global_daily,20210512,34758745079,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,historical,tas,342d8b1f-8f2b-4c62-84ea-7335b7f0d150,ukesm1-0-ll_r1i1p1f2_w5e5_historical_tas_global_daily,20210512,34060921287,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,historical,tasmax,d6bb7ad8-346a-4405-8ef8-8a1f72ba1366,ukesm1-0-ll_r1i1p1f2_w5e5_historical_tasmax_global_daily,20210512,34268342928,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,historical,tasmin,b2fec66e-3001-4750-b412-7323e39b7f71,ukesm1-0-ll_r1i1p1f2_w5e5_historical_tasmin_global_daily,20210512,34457233334,18,1850,2014,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp126,pr,d4d442b7-d651-4719-9ead-16e172dc37b1,ukesm1-0-ll_r1i1p1f2_w5e5_ssp126_pr_global_daily,20210512,18413880706,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
ukesm1-0-ll,r1i1p1f2,ssp126,tas,a752c325-aad2-4965-afc9-a59ff7a0e04d,ukesm1-0-ll_r1i1p1f2_w5e5_ssp126_tas_global_daily,20210512,17726713524,9,2015,2100,CC0 1.0,true,false,10.48364/ISIMIP.842396.1
