esm,scenario,center_year,rows,rho|tmean_c|log_precip,rho|tmean_c|wet_logit,rho|tmean_c|cdd_logit,rho|tmean_c|rx5_share_logit,rho|tmean_c|rx1_given_rx5_logit,rho|tmean_c|stage_alr1,rho|tmean_c|stage_alr2,rho|log_precip|wet_logit,rho|log_precip|cdd_logit,rho|log_precip|rx5_share_logit,rho|log_precip|rx1_given_rx5_logit,rho|log_precip|stage_alr1,rho|log_precip|stage_alr2,rho|wet_logit|cdd_logit,rho|wet_logit|rx5_share_logit,rho|wet_logit|rx1_given_rx5_logit,rho|wet_logit|stage_alr1,rho|wet_logit|stage_alr2,rho|cdd_logit|rx5_share_logit,rho|cdd_logit|rx1_given_rx5_logit,rho|cdd_logit|stage_alr1,rho|cdd_logit|stage_alr2,rho|rx5_share_logit|rx1_given_rx5_logit,rho|rx5_share_logit|stage_alr1,rho|rx5_share_logit|stage_alr2,rho|rx1_given_rx5_logit|stage_alr1,rho|rx1_given_rx5_logit|stage_alr2,rho|stage_alr1|stage_alr2
GFDL-ESM4,ssp585,2048,7676,-0.271635128279231,-0.222778930032808,0.32459404649833,0.543853004352819,0.285619162033,0.237241119406574,0.164033053238575,0.922272899593461,-0.933023344012204,-0.839569792957792,-0.2422551208892,-0.0775957468499085,0.0754612520980331,-0.917303832163676,-0.808396467742637,-0.354659305170174,-0.0143616157596125,0.174127040406406,0.892409780069869,0.16479964228411,0.180821924098431,-0.0687854568212788,0.276109326028179,0.085638689036666,-0.0882961874994059,-0.323205742710911,-0.231405617782608,0.679821150039353
GFDL-ESM4,ssp585,2049,7676,-0.277160968728258,-0.227534876282518,0.331033554766218,0.553898122830139,0.277462239186755,0.249054119479986,0.185629631925642,0.922202886724625,-0.932881522721015,-0.839082448513636,-0.238177359870513,-0.0784330874653603,0.0635835716158105,-0.915609763650187,-0.802755461753291,-0.353867273758025,-0.0149477298347796,0.163362493829622,0.892244480750016,0.157428555044915,0.186051669864887,-0.0487470183589468,0.267713661429823,0.0983247327979483,-0.0601049518406456,-0.329682725677581,-0.237971405426674,0.670596539605348
IPSL-CM6A-LR,ssp126,2042,7676,-0.24678188168148,-0.13913149069861,0.294205003624051,0.45447981932166,0.219190723392841,0.195599649488095,0.179277321483066,0.910857416877053,-0.927208031201733,-0.844511920364412,-0.37759322086393,-0.0232252790234257,0.0981430171209834,-0.912346888889326,-0.818133722944839,-0.453726811510707,0.0365699433998763,0.185911188693625,0.912458437043183,0.282922762868803,0.0820109050787255,-0.119427606642369,0.364674301654285,-0.029967340042772,-0.13539870610915,-0.337721932463333,-0.226893319378634,0.668423909482715
IPSL-CM6A-LR,ssp126,2043,7676,-0.246105889795851,-0.139487198444028,0.297925673991275,0.452435185860938,0.217619142969917,0.202182432696581,0.197079953236429,0.910751933273844,-0.926390536239129,-0.846101852790673,-0.379370404606332,-0.0208573799383346,0.0737386148896034,-0.910519212367209,-0.817239682974375,-0.460201499201,0.0379915594918003,0.161534568202923,0.912347601806032,0.288606589923593,0.0801588703991337,-0.0964307236743086,0.370295449941883,-0.0367494742307136,-0.111043773837179,-0.327917939615125,-0.194523790611561,0.673051500076376
IPSL-CM6A-LR,ssp126,2044,7676,-0.246292784998524,-0.138669952219775,0.297529784109123,0.454270379865656,0.208689462300595,0.19975575110175,0.200678803528291,0.912750758051653,-0.928479962634212,-0.847715312707573,-0.39205263398774,-0.0178034217165374,0.0794035804858864,-0.912730702775197,-0.818209706910537,-0.476124341712633,0.0369589985572363,0.163872559245091,0.913590684247162,0.306174973573482,0.076516427342684,-0.0993249373348742,0.380144171211008,-0.036827073232946,-0.109140892508505,-0.308973815037447,-0.196461565010095,0.664698594915454
IPSL-CM6A-LR,ssp126,2045,7676,-0.248239163036387,-0.139942863264676,0.297376843444237,0.45985640409507,0.208259177054755,0.209642906530205,0.199886425499445,0.91349791919785,-0.927925001367718,-0.848219300856443,-0.418388605215978,-0.0148744490652153,0.0913498438173948,-0.913157784984122,-0.815513541921068,-0.497609364359394,0.0423400104476284,0.177922868640431,0.911524163742339,0.324987402668029,0.0826996713200294,-0.102277830243566,0.398086567407242,-0.0301019578243408,-0.11395678050306,-0.313358805530861,-0.200369275526075,0.664251015342629
IPSL-CM6A-LR,ssp126,2046,7676,-0.250549483558339,-0.141111324731988,0.29852019839242,0.463140893205058,0.201755247378878,0.208793609902521,0.202247543595247,0.913304420192009,-0.925795675720942,-0.841264164820842,-0.427444215974212,-0.0165583720978874,0.0812289152715084,-0.91351355962014,-0.811390942497689,-0.503762002077816,0.0464953126680039,0.170465555794741,0.909518882769445,0.32575905979887,0.0814510542677607,-0.0979922064995015,0.392507798769863,-0.0331292022274064,-0.110911133340472,-0.321791038114612,-0.203269145928772,0.66085810097119
IPSL-CM6A-LR,ssp126,2047,7676,-0.248119352608647,-0.137621905563932,0.290573273480038,0.456836465269205,0.209322748131106,0.227091012488445,0.245431222246548,0.913843185220036,-0.926404402589093,-0.840696510624452,-0.439293393466174,-0.0330990746723335,0.0539487391355307,-0.915879337174917,-0.812254402241904,-0.508470268176876,0.0303945017306733,0.143230269598738,0.908185400605937,0.334969956209019,0.0994042465306277,-0.0675829655011543,0.406532437276404,-0.0147265824775827,-0.0749011261740376,-0.309080570622501,-0.191596061850528,0.667109617076144
IPSL-CM6A-LR,ssp126,2048,7676,-0.24522914610246,-0.135440811498255,0.293247897114699,0.456421302244957,0.214211202502316,0.230377981222711,0.251616376333792,0.912911928981761,-0.92492908297492,-0.835570512004968,-0.448821094004418,-0.0290167258329618,0.0672286043549421,-0.915369154432233,-0.807051608703387,-0.519166626138362,0.0332795946499993,0.154973089308443,0.904856865101092,0.345568957638289,0.0947716929983227,-0.0790372514208938,0.406275200904974,-0.0265507177706849,-0.0843982365637275,-0.290538436205933,-0.188378488999249,0.671941209935501
IPSL-CM6A-LR,ssp126,2049,7676,-0.244976515683266,-0.136890101746957,0.296980050511861,0.458409047780806,0.210650615877092,0.228009023973112,0.245287848481268,0.913875575019417,-0.926007462623858,-0.836733788291887,-0.4509531699947,-0.0286548687414569,0.0787524461252,-0.91553038735231,-0.808368251271409,-0.523842833686678,0.0321078719758743,0.166132542119893,0.906679886128269,0.352100974228556,0.0944023331039975,-0.0887556097416543,0.406528836738571,-0.0238635991979992,-0.0978780077003827,-0.291706149827799,-0.194339187630681,0.673146619631057
IPSL-CM6A-LR,ssp370,2042,7676,-0.235741391589074,-0.127616766353956,0.27233030516903,0.460383538447968,0.176079268170209,0.184083169238591,0.112634847912935,0.904964368233638,-0.926830292073126,-0.826019404038376,-0.238808476908105,0.0554805353538615,0.223863929442518,-0.918585031372568,-0.799687307693754,-0.343359469695487,0.103276532014126,0.310160225035253,0.900765158752007,0.17311025757113,0.0138420287001897,-0.24193244540727,0.236605449638792,-0.0547625441277661,-0.233139108887177,-0.315321070135555,-0.268025025914289,0.640165519997208
IPSL-CM6A-LR,ssp370,2043,7676,-0.237886206087365,-0.12809632442844,0.275836107360833,0.465180186650746,0.173671730776973,0.199202934499168,0.131353684692251,0.903268763794659,-0.926295987215478,-0.820982579189556,-0.263363246704863,0.0340646860735499,0.212601713327887,-0.914928228666042,-0.794250423539855,-0.366981258896996,0.0817807867963523,0.302433888817492,0.897473520821457,0.193081358565658,0.0432893885910175,-0.225938067038329,0.244521944867737,-0.0259432091539334,-0.212589964759096,-0.327715613028992,-0.290824132973133,0.641038186194744
IPSL-CM6A-LR,ssp370,2044,7676,-0.235706698605447,-0.123399784253785,0.272551776629854,0.460470684984778,0.171892857985529,0.200274634295295,0.125209740500779,0.902567315103698,-0.925759149031403,-0.82068456712059,-0.279050235084097,0.0263293006783359,0.22017213435818,-0.914476577209766,-0.793548720221079,-0.385611912826883,0.0784704690380195,0.312808080658989,0.898354202515971,0.210865507773632,0.0449990620725645,-0.235301727625961,0.264494241969469,-0.0221315264176888,-0.220713488374005,-0.319729406927011,-0.294628046794592,0.639568885189798
IPSL-CM6A-LR,ssp370,2045,7676,-0.232402789722898,-0.119678438615781,0.270365206129584,0.45830267048514,0.179025215549967,0.190583909919235,0.127918630066788,0.902785849664217,-0.924873872163789,-0.819649987915625,-0.287229847380352,0.024375710924829,0.216459030554313,-0.911359503673998,-0.790659394606051,-0.395885369835319,0.074508181042825,0.312099875683316,0.898177347558196,0.22013690779175,0.0466862829171592,-0.232516183590645,0.271724207799162,-0.0196309855611055,-0.220041098684862,-0.307709869525309,-0.294867422597586,0.647440186772009
IPSL-CM6A-LR,ssp370,2046,7676,-0.234439407806245,-0.119987987765555,0.267652288391008,0.457929861707757,0.183284532557638,0.190462141744395,0.12885493733238,0.90298927149828,-0.925099579338912,-0.818762197426104,-0.305672031842154,0.0176673943041721,0.211556546920853,-0.913342920565584,-0.791566558460986,-0.414066126173783,0.0664018653061823,0.307349528232869,0.898963893960879,0.241420536262409,0.0443418087854119,-0.232771426726959,0.288938638109575,-0.0206811150552894,-0.219450892255376,-0.306000020095327,-0.292829140036541,0.655602885049337
