holdout_type,holdout_id,feature_family,selected_lambda,n_test_values,rmse,benchmark_rmse,rmse_ratio_to_cell_mean,negative_prediction_count,above_one_prediction_count
whole_esm,MPI-ESM1-2-HR,rx5day_mm,100.0,36358,27.35037930561644,27.59928323708913,0.9909815074060256,0,0
whole_esm,MPI-ESM1-2-HR,stage1_precip_share,100.0,36358,0.19731952524949464,0.19763245329226595,0.998416616109559,0,0
whole_esm,MPI-ESM1-2-HR,stage2_precip_share,100.0,36358,0.19427005682350856,0.19419520381631203,1.0003854523990579,0,0
whole_esm,MPI-ESM1-2-HR,stage3_precip_share,100.0,36358,0.17173846030961679,0.1712427800288234,1.0028946054292622,0,0
whole_esm,MPI-ESM1-2-HR,precipitation_timing_centroid,100.0,36358,0.10504533075368992,0.10498761385957728,1.0005497495560747,0,0
whole_esm,MPI-ESM1-2-HR,precipitation_concentration_hhi,100.0,36358,0.1303678494782084,0.13025493304166497,1.0008668879857878,0,0
whole_esm,MRI-ESM2-0,tmean_c,1.0,36358,0.8774954690385435,1.8400315796150244,0.4768915266237632,0,0
whole_esm,MRI-ESM2-0,precip_mm,100.0,36358,89.28451940266078,89.28273254264776,1.000020013500507,0,0
whole_esm,MRI-ESM2-0,wet_days_n,10.0,36358,7.270771052373088,7.3978587020172135,0.9828210223034576,0,0
whole_esm,MRI-ESM2-0,cdd_max_days,100.0,36358,15.34579840938766,15.623546569252603,0.982222464109938,0,0
whole_esm,MRI-ESM2-0,rx1day_mm,100.0,36358,13.699078177636174,13.728182931889219,0.9978799266882264,0,0
whole_esm,MRI-ESM2-0,rx5day_mm,100.0,36358,26.911974696509,26.818220166814005,1.0034959266167487,0,0
whole_esm,MRI-ESM2-0,stage1_precip_share,100.0,36358,0.1756914322763199,0.17637429607149366,0.9961283258933775,0,0
whole_esm,MRI-ESM2-0,stage2_precip_share,100.0,36358,0.16908586298003656,0.1692770469513197,0.99887058538221,0,0
whole_esm,MRI-ESM2-0,stage3_precip_share,100.0,36358,0.15147291933178136,0.1513158964090057,1.0010377159736823,0,0
whole_esm,MRI-ESM2-0,precipitation_timing_centroid,100.0,36358,0.09383199339204931,0.09401906731814882,0.9980102554573693,0,0
whole_esm,MRI-ESM2-0,precipitation_concentration_hhi,100.0,36358,0.11538212170837382,0.11579848041309289,0.9964044545037744,0,0
whole_esm,UKESM1-0-LL,tmean_c,1.0,36358,0.9622632842434139,3.236513405659892,0.2973147840390972,0,0
whole_esm,UKESM1-0-LL,precip_mm,100.0,36358,108.12233687682313,111.11520765053886,0.9730651560934087,5,0
whole_esm,UKESM1-0-LL,wet_days_n,10.0,36358,8.245150544965789,8.523726029368664,0.9673176397923822,32,0
whole_esm,UKESM1-0-LL,cdd_max_days,100.0,36358,15.229899282991274,15.41670373367763,0.9878829836835819,0,0
whole_esm,UKESM1-0-LL,rx1day_mm,100.0,36358,18.0122553288597,18.382690555311576,0.9798486937841184,0,0
whole_esm,UKESM1-0-LL,rx5day_mm,100.0,36358,35.38373390427236,35.91434950892159,0.9852255265122534,2,0
whole_esm,UKESM1-0-LL,stage1_precip_share,100.0,36358,0.1804566986045821,0.18114497801227952,0.9962003947597666,1,0
whole_esm,UKESM1-0-LL,stage2_precip_share,100.0,36358,0.1781809960291628,0.1779790480376809,1.0011346728376653,0,0
whole_esm,UKESM1-0-LL,stage3_precip_share,100.0,36358,0.14846863222047862,0.14743253045408672,1.0070276333398114,0,0
whole_esm,UKESM1-0-LL,precipitation_timing_centroid,100.0,36358,0.09265392805311176,0.09277887723942259,0.9986532582627791,0,0
whole_esm,UKESM1-0-LL,precipitation_concentration_hhi,100.0,36358,0.11728999037459023,0.11735191332082687,0.9994723311748028,0,0
whole_scenario,ssp126,tmean_c,10.0,58310,1.0964620011923223,2.0938451336067154,0.5236595503620802,0,0
whole_scenario,ssp126,precip_mm,100.0,58310,87.52770876633677,88.5653114967414,0.9882843213345125,0,0
whole_scenario,ssp126,wet_days_n,100.0,58310,7.367139200680966,7.545495816029732,0.9763625055665841,0,0
whole_scenario,ssp126,cdd_max_days,100.0,58310,15.009741801305552,15.058038111421537,0.9967926558719923,0,0
whole_scenario,ssp126,rx1day_mm,100.0,58310,15.078943308768418,15.451009056356602,0.9759196473038688,0,0
