esm_id,member_id,scenario,variable,start_year,end_year,dataset_id,file_id,file_name,version,size_bytes,sha512,file_url,rights,public,restricted
ipsl-cm6a-lr,r1i1p1f1,ssp370,tas,2041,2050,c0112ac8-0b8d-4082-b21b-0c48c2b2c1d5,d0a936ef-c3ad-4509-aa60-356415f68437,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_tas_global_daily_2041_2050.nc,20210512,2063111699,ae52d34bd15f5d95cdb8bbe35b782f37a66a827cc3fab1d85a81ff71bf3b3c5cd0ff7952c6fabddfb87b6fc21d332b93ba18dfb1f5d3578912f02ca710b6d8b1,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_tas_global_daily_2041_2050.nc,CC0 1.0,true,false
ipsl-cm6a-lr,r1i1p1f1,ssp370,tas,2091,2100,c0112ac8-0b8d-4082-b21b-0c48c2b2c1d5,1aab7bcd-1da0-456a-a511-e5b044e1e58b,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_tas_global_daily_2091_2100.nc,20210512,2061304420,004042c7429c0f61b39d0550bd61c34eba62357329c6ebcd1f91effc335f926bc72a39eb13f4b26f0f373a04458918e2f07e57fc2a9caf3603fd4e78e5c717aa,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp370/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp370_tas_global_daily_2091_2100.nc,CC0 1.0,true,false
ipsl-cm6a-lr,r1i1p1f1,ssp585,pr,2041,2050,b10993d6-9f54-4705-830d-d624fe66051a,9daa5bfe-b99c-42d5-8d96-d7132b405858,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_pr_global_daily_2041_2050.nc,20210512,2124459323,11c3bf83045ee3a43e59ca6b63838e299bdba18e0c2e241cb750321ef6f8a72810bd723d5cb47ef38d7c49267f41f232af5c986f76d0be386558e52f6b05bb3b,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp585/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_pr_global_daily_2041_2050.nc,CC0 1.0,true,false
ipsl-cm6a-lr,r1i1p1f1,ssp585,pr,2091,2100,b10993d6-9f54-4705-830d-d624fe66051a,adbdf21e-c1fb-4b7e-a532-b7a7f70c9298,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_pr_global_daily_2091_2100.nc,20210512,2119509982,985b8ac417d49a6bfdb2f068244e0072f5779f0c343170b144a798de29bf99a3d8bc0334f1bc70fbe61bf3e19b1a0ef15cadb9e5c5f59287fb4ca93c00a57ecd,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp585/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_pr_global_daily_2091_2100.nc,CC0 1.0,true,false
ipsl-cm6a-lr,r1i1p1f1,ssp585,tas,2041,2050,1743fd86-2323-4d17-a718-21290e0f7fef,eeb6135a-b669-48ec-afc9-0a4177031187,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_tas_global_daily_2041_2050.nc,20210512,2063460657,93e532e429b950c82f1b1297d23e8bd82a2dc3fd53e6f6b319de6c1f4ad8027e5ad5ddfdf0081e0c2977aec1e855e6a01d8f689752ed0759384769e8db4b1a90,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp585/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_tas_global_daily_2041_2050.nc,CC0 1.0,true,false
ipsl-cm6a-lr,r1i1p1f1,ssp585,tas,2091,2100,1743fd86-2323-4d17-a718-21290e0f7fef,30f61c4e-a04f-4653-8fbc-d2df17bcc40c,ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_tas_global_daily_2091_2100.nc,20210512,2060349832,76e2663a79b74e3b3c5ef4a932a88961c78b50b8126e3f3b9bca5f0882f3c0985ad50555d2e45a2ae206fb645aa962893621e53c5320e77e66d0a2b4b5cdc46a,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp585/IPSL-CM6A-LR/ipsl-cm6a-lr_r1i1p1f1_w5e5_ssp585_tas_global_daily_2091_2100.nc,CC0 1.0,true,false
mpi-esm1-2-hr,r1i1p1f1,ssp126,pr,2041,2050,6d0d3dc0-b9cc-4767-8380-1df35ea91791,11a69b81-684c-471e-adaf-293d22d88d5a,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_global_daily_2041_2050.nc,20210512,2101460975,d440100522c9d66871e3ac1f22c79d6a112cbfef6844fe7210b5e45228fb8c78625fc288c7992525c1dc7aa1a5f3611b5c5a8356fcd06871cabd59e706fbe7f8,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_global_daily_2041_2050.nc,CC0 1.0,true,false
mpi-esm1-2-hr,r1i1p1f1,ssp126,pr,2091,2100,6d0d3dc0-b9cc-4767-8380-1df35ea91791,2e944c6e-8c30-4c11-9c45-5de6df77bd35,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_global_daily_2091_2100.nc,20210512,2100494316,da45a0947e56af2a0757914e17847c2a58819657a2e2f891574c5f0f3f12511d0dd3e8313ee9e714d2c84932a00486978a1584dc78e8933b6e4509f07536b01b,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_pr_global_daily_2091_2100.nc,CC0 1.0,true,false
mpi-esm1-2-hr,r1i1p1f1,ssp126,tas,2041,2050,a3989ae4-3968-4e50-9b68-3396751a6c96,5eace7d6-7b55-4007-bd52-c45cf7e0fa42,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_global_daily_2041_2050.nc,20210512,2056537310,ca5b2d99bdb89be34dc8cb04dc6f6863280a5f0d46a827abfab3d03f9f10b6ca0e6992614470ff7eea8ca5af5853bc93ecf9d3762300d870652c1a1b724f34f3,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_global_daily_2041_2050.nc,CC0 1.0,true,false
mpi-esm1-2-hr,r1i1p1f1,ssp126,tas,2091,2100,a3989ae4-3968-4e50-9b68-3396751a6c96,0b0ffe74-ec47-4a94-b42e-8b0160932677,mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_global_daily_2091_2100.nc,20210512,2056667735,d5283aaf99721fa973ddd151e8116eaedd0ac5ade62226321b2e3db7031c9df4a64981ef42e600c072d8e8cd94681502118df4b500f89902f39280b06865a3ed,https://files.isimip.org/ISIMIP3b/InputData/climate/atmosphere/bias-adjusted/global/daily/ssp126/MPI-ESM1-2-HR/mpi-esm1-2-hr_r1i1p1f1_w5e5_ssp126_tas_global_daily_2091_2100.nc,CC0 1.0,true,false
