"scenario","sector","dr_label","prtp","eta","mean_scc","median_scc","p05_scc","p95_scc","delta_mean_scc","pct_delta_mean_scc","delta_median_scc"
"wildfire-source-uncertainty","cromar_mortality","3.0%",0.007732453194507549,1.567899391,42.37704591086285,34.65739106492596,17.435235600013268,107.84701680409617,-0.08753377094518555,-0.20613360970739883,-0.0890730203988852
"wildfire-source-uncertainty","agriculture","2.5%",0.004629467024013456,1.421158088,76.50818461574843,54.29243135024771,-13.848214116085515,286.35199737438745,0.47257945927223943,0.6215239009404903,0.40481473852620553
"wildfire-source-uncertainty","slr","2.5%",0.004629467024013456,1.421158088,1.70882540139621,1.0592362382079836,0.46394470294760476,4.223992378995334,-0.003218092007781781,-0.18796788867690326,0.0010979620498736686
"wildfire-source-uncertainty","cromar_mortality","2.0%",0.0019745879362491614,1.244458999,94.1636191070198,81.58376758353275,48.66722508966729,194.04442096866285,-0.3056108686433845,-0.3235030800209919,-0.6416660197843527
"wildfire-source-uncertainty","slr","2.0%",0.0019745879362491614,1.244458999,2.4384682564108484,1.7305177620266865,0.7280244324345629,5.4787437715327485,-0.006259530052637352,-0.2560420054656602,-0.0005864954561429769
"wildfire-source-uncertainty","energy","1.5%",9.150024589210659e-5,1.01601,15.626137459106008,14.410943696025985,7.522299443498383,29.34074453790268,-0.07203178202143512,-0.4588546658849869,-0.01244208299965699
"wildfire-source-uncertainty","cromar_mortality","1.5%",9.150024589210659e-5,1.01601,154.6105242398313,141.72119255922695,79.43879335946778,269.1654224117272,-0.6056074403926459,-0.39017042483723113,-0.928099348334058
"wildfire-source-uncertainty","cromar_mortality","2.5%",0.004629467024013456,1.421158088,61.266771678502145,50.904246882963164,27.08377079808608,149.95619416722874,-0.15926918293855152,-0.25928609544902387,-0.0897361461601065
"wildfire-source-uncertainty","agriculture","3.0%",0.007732453194507549,1.567899391,53.07598916436739,34.16144056618529,-13.070140196971613,205.146405982531,0.30835212549000346,0.584358411317187,-0.008612333688091667
"wildfire-source-uncertainty","energy","2.5%",0.004629467024013456,1.421158088,5.729645569691332,4.598250177916346,2.8887813287941184,11.76502786411967,-0.017619093346427306,-0.3065648509236149,-0.021163336719681958
"wildfire-source-uncertainty","total","3.0%",0.007732453194507549,1.567899391,100.52296593143447,74.27212629486098,14.860418176041348,287.8138982024364,0.20963368715284503,0.20897888891014807,0.19471370214634476
"wildfire-source-uncertainty","energy","3.0%",0.007732453194507549,1.567899391,3.848034533941643,3.0020877666227817,1.8613114185184496,8.45068958094146,-0.009308322195074492,-0.2413143591906981,-0.005687422797272745
