"scenario","dr_label","prtp","eta","trial","scc_2020usd_per_tco2"
"baseline","2.5%",0.004629467024013456,1.421158088,60,252.98259942970375
"baseline","2.5%",0.004629467024013456,1.421158088,61,119.23053542738195
"baseline","2.5%",0.004629467024013456,1.421158088,62,39.204453612306025
"baseline","2.5%",0.004629467024013456,1.421158088,63,199.99570693146202
"baseline","2.5%",0.004629467024013456,1.421158088,64,100.83416010294066
"baseline","2.5%",0.004629467024013456,1.421158088,65,4.826714879293779
"baseline","2.5%",0.004629467024013456,1.421158088,66,54.702938878750366
"baseline","2.5%",0.004629467024013456,1.421158088,67,131.0667126500653
"baseline","2.5%",0.004629467024013456,1.421158088,68,901.870438212955
"baseline","2.5%",0.004629467024013456,1.421158088,69,60.485892036139504
"baseline","2.5%",0.004629467024013456,1.421158088,70,102.69710960625862
"baseline","2.5%",0.004629467024013456,1.421158088,71,58.46100863108352
"baseline","2.5%",0.004629467024013456,1.421158088,72,258.1101238627593
"baseline","2.5%",0.004629467024013456,1.421158088,73,150.36338580588233
"baseline","2.5%",0.004629467024013456,1.421158088,74,42.4064487651423
"baseline","2.5%",0.004629467024013456,1.421158088,75,121.59670534776573
"baseline","2.5%",0.004629467024013456,1.421158088,76,86.87382869813489
"baseline","2.5%",0.004629467024013456,1.421158088,77,132.9034981964445
"baseline","2.5%",0.004629467024013456,1.421158088,78,81.80592957320333
"baseline","2.5%",0.004629467024013456,1.421158088,79,138.40853840988242
"baseline","2.5%",0.004629467024013456,1.421158088,80,95.90099557880815
"baseline","2.5%",0.004629467024013456,1.421158088,81,57.13991739310308
"baseline","2.5%",0.004629467024013456,1.421158088,82,97.8010246507071
"baseline","2.5%",0.004629467024013456,1.421158088,83,61.78948300490885
"baseline","2.5%",0.004629467024013456,1.421158088,84,85.1504889426918
"baseline","2.5%",0.004629467024013456,1.421158088,85,300.3841482215722
"baseline","2.5%",0.004629467024013456,1.421158088,86,303.0247574940927
"baseline","2.5%",0.004629467024013456,1.421158088,87,123.23396030457862
"baseline","2.5%",0.004629467024013456,1.421158088,88,67.16246032571873
"baseline","2.5%",0.004629467024013456,1.421158088,89,123.30907487596637
"baseline","2.5%",0.004629467024013456,1.421158088,90,0.40174954936006396
"baseline","2.5%",0.004629467024013456,1.421158088,91,52.645345226527176
"baseline","2.5%",0.004629467024013456,1.421158088,92,93.0207040229412
"baseline","2.5%",0.004629467024013456,1.421158088,93,199.645111062582
"baseline","2.5%",0.004629467024013456,1.421158088,94,118.72328155257274
"baseline","2.5%",0.004629467024013456,1.421158088,95,100.49906225797287
"baseline","2.5%",0.004629467024013456,1.421158088,96,148.61038457625065
"baseline","2.5%",0.004629467024013456,1.421158088,97,12.857310213201208
"baseline","2.5%",0.004629467024013456,1.421158088,98,116.40795285816161
"baseline","2.5%",0.004629467024013456,1.421158088,99,237.973411084251
"baseline","2.5%",0.004629467024013456,1.421158088,100,49.34767038533784
"baseline","2.0%",0.0019745879362491614,1.244458999,1,220.1043317354974
"baseline","2.0%",0.0019745879362491614,1.244458999,2,363.73411289558805
"baseline","2.0%",0.0019745879362491614,1.244458999,3,144.22241255733405
"baseline","2.0%",0.0019745879362491614,1.244458999,4,155.9060193634409
"baseline","2.0%",0.0019745879362491614,1.244458999,5,372.0991721274073
"baseline","2.0%",0.0019745879362491614,1.244458999,6,179.4824796363447
"baseline","2.0%",0.0019745879362491614,1.244458999,7,93.3734083969945
"baseline","2.0%",0.0019745879362491614,1.244458999,8,514.6897432450969
"baseline","2.0%",0.0019745879362491614,1.244458999,9,129.6176008264381
"baseline","2.0%",0.0019745879362491614,1.244458999,10,54.416728247200126
"baseline","2.0%",0.0019745879362491614,1.244458999,11,695.055946393461
"baseline","2.0%",0.0019745879362491614,1.244458999,12,221.5256684196541
"baseline","2.0%",0.0019745879362491614,1.244458999,13,160.92113340140767
"baseline","2.0%",0.0019745879362491614,1.244458999,14,98.52181921791711
"baseline","2.0%",0.0019745879362491614,1.244458999,15,33.605643087613416
"baseline","2.0%",0.0019745879362491614,1.244458999,16,144.7618217545328
"baseline","2.0%",0.0019745879362491614,1.244458999,17,66.85500746555847
"baseline","2.0%",0.0019745879362491614,1.244458999,18,307.9680112488813
"baseline","2.0%",0.0019745879362491614,1.244458999,19,131.20727875815425
"baseline","2.0%",0.0019745879362491614,1.244458999,20,227.6817949535863
"baseline","2.0%",0.0019745879362491614,1.244458999,21,296.75515625100996
"baseline","2.0%",0.0019745879362491614,1.244458999,22,52.433909958493885
"baseline","2.0%",0.0019745879362491614,1.244458999,23,75.77802422444424
"baseline","2.0%",0.0019745879362491614,1.244458999,24,391.73096493378273
"baseline","2.0%",0.0019745879362491614,1.244458999,25,199.12499419757407
"baseline","2.0%",0.0019745879362491614,1.244458999,26,24.194123821134106
"baseline","2.0%",0.0019745879362491614,1.244458999,27,138.83502510343192
"baseline","2.0%",0.0019745879362491614,1.244458999,28,133.34760050573018
"baseline","2.0%",0.0019745879362491614,1.244458999,29,233.43198583431237
"baseline","2.0%",0.0019745879362491614,1.244458999,30,91.38347901578635
"baseline","2.0%",0.0019745879362491614,1.244458999,31,94.033952100741
"baseline","2.0%",0.0019745879362491614,1.244458999,32,149.0406737359193
"baseline","2.0%",0.0019745879362491614,1.244458999,33,123.93408348908503
"baseline","2.0%",0.0019745879362491614,1.244458999,34,108.27751414804924
"baseline","2.0%",0.0019745879362491614,1.244458999,35,231.60961224031527
"baseline","2.0%",0.0019745879362491614,1.244458999,36,67.38378950623999
"baseline","2.0%",0.0019745879362491614,1.244458999,37,187.60809830209794
"baseline","2.0%",0.0019745879362491614,1.244458999,38,337.76899085862726
"baseline","2.0%",0.0019745879362491614,1.244458999,39,121.2748082338039
"baseline","2.0%",0.0019745879362491614,1.244458999,40,177.1221073727905
"baseline","2.0%",0.0019745879362491614,1.244458999,41,299.75738526706925
"baseline","2.0%",0.0019745879362491614,1.244458999,42,211.35922710108005
"baseline","2.0%",0.0019745879362491614,1.244458999,43,114.42077826628628
"baseline","2.0%",0.0019745879362491614,1.244458999,44,757.0693022984474
"baseline","2.0%",0.0019745879362491614,1.244458999,45,153.4650879985558
"baseline","2.0%",0.0019745879362491614,1.244458999,46,60.50260616833334
"baseline","2.0%",0.0019745879362491614,1.244458999,47,135.81883747194334
"baseline","2.0%",0.0019745879362491614,1.244458999,48,105.92487135936922
"baseline","2.0%",0.0019745879362491614,1.244458999,49,104.64295030333402
"baseline","2.0%",0.0019745879362491614,1.244458999,50,137.17791766163182
"baseline","2.0%",0.0019745879362491614,1.244458999,51,149.85040391503932
"baseline","2.0%",0.0019745879362491614,1.244458999,52,228.01676712752442
"baseline","2.0%",0.0019745879362491614,1.244458999,53,115.79191908893192
"baseline","2.0%",0.0019745879362491614,1.244458999,54,27.942042058555213
"baseline","2.0%",0.0019745879362491614,1.244458999,55,352.9862752842029
"baseline","2.0%",0.0019745879362491614,1.244458999,56,336.4810009551674
